did,area,dname,population,scode
1,"625 sq kms",Hyderabad,10136335,TS
2,"4069 sq kms",Warangal,811843,TS
3,"7956 sq kms",Nizamabad,1270261,TS
4,"16129 sq kms",Khammam,1413643,TS
5,"2893 sq kms",Karimnagar,1065094,TS
6,"163 sq kms",Ramagundam,242979,TS
7,"18432 sq kms",Mahbubnagar,4053028,TS
8,"14200 sq kms",Nalgonda,1614825,TS
9,"3537 sq kms",Suryapet,1203705,TS
10,"16105 sq kms",Adilabad,708952,TS
11,"866 sq kms",Ahmedabad,7208200,GJ
12,"326 sq kms",Surat,6079231,GJ
13,"235 sq kms",Vadodara,3093795,GJ
14,"170 sq kms",Rajkot,3015229,GJ
15,"239 sq kms",Bhavnagar,2877961,GJ
16,"144 sq kms",Jamnagar,1496864,GJ
17,"8835 sq kms",Junagadh,2742291,GJ
18,"649 sq kms",Gandhinagar,1387478,GJ
19,"3732 sq kms",Anand,2090276,GJ
20,"10489 sq kms",Surendranagar,1755873,GJ
21,"2149 sq kms",Thiruvananthapuram,3307288,KL
22,"94 sq kms",Kochi,2090775,KL
23,"128 sq kms",Kozhikode,3012078,KL
24,"3032 sq kms",Thrissur,3110327,KL
25,"2489 sq kms",Kollam,2629703,KL
26,"1414 sq kms",Alappuzha,2127789,KL
27,"4480 sq kms",Palakkad,2810892,KL
28,"3550 sq kms",Malappuram,4112920,KL
29,"2966 sq kms",Kannur,2525637,KL
30,"2642 sq kms",Pathanamthitta,1197412,KL
31,"422 sq kms",Bhubaneswar,837737,OD
32,"192.5 sq kms",Cuttack,610189,OD
33,"200 sq kms",Rourkela,483629,OD
34,"83.88 sq kms",Sambalpur,318705,OD
35,"16.32 sq kms",Puri,200564,OD
36,"3075 sq kms",Balasore,144373,OD
37,"57.48 sq kms",Brahmapur,355823,OD
38,"70.22 sq kms",Jharsuguda,579499,OD
39,"34.21 sq kms",Baripada,116874,OD
40,"155 sq kms",Bargarh,116152,OD
